"Measure","Aliases"
"Recommended Purchases OEM/Var/RFQ","['Recommended Purchases OEM/Var/RA']"
"Max DSOH Target Qty","[]"
"Min DSOH Target Qty","[]"
"Submitted Time Stamp","['Supply Planner Submitted Time Stamp']"
"o9 PR Approved Qty","[]"
"Submitted PR Comments","['Planner Comments']"
"Approved PR Price","[]"
"Ship Method","[]"
"AFT Transfer Recommended Qty","[]"
"Existing PO OEM","[]"
"Existing PO CTDI","[]"
"Approved Vendor Site","[]"
"NBD Override","[]"
"QOZ Approval Flag","[]"
"Comment","[]"
"Approved PR Purchase Amount","[]"
"Approved Ship To","[]"
"Buyer Name","['Buyer']"
"Auto Route To Approval","[]"
"Existing PO Secondary Market","[]"
"Preparer","[]"
"Buyback Transfer Reco for MRP","[]"
"DC2DC Transfer Reco for MRP","[]"
"Approved Negative Quantity Intermediate","['Approved PR Quantity']"
"Intransit Qty","[]"
"Confirmed PO Qty","[]"
"Open PO Qty","[]"
"Received PO Qty","[]"
"o9 Recommended Original Qty","[]"
"Accumulated Shipment","[]"
"Dark2DC Transfer Reco for MRP","[]"
"Approval Category PR","['Approval Category Excess']"
"Excess Flag PR","['Excess Flag Yearly']"
"Approved Vendor Alias","[]"
"Approved Vendor","[]"
"Source Location","[]"
"Source Inventory Type","[]"
"Consolidated Demand at Month","[]"
"Reco Pr Qty (AFTR)","['Recommended Purchases Post Internal/Buyback Sourcing']"
"Preparer Code","[]"
"Existing PO AFTR","['Internal Transfer PO']"
"Shipped Quantity","[]"
"Final Buyback Price","[]"
"Buyback Amount","['Purchase Amount']"
"Approved Ship Method","[]"
"O9 AFT Transfer Recommended Qty","[]"
"Shipped Date","[]"
"Net Available NBD","[]"
"Published Forecast SP SCS PF","['Published Demand Forecast']"
"Benchmark Price Override","[]"
"Soft Supply Qty","[]"
"Reco PR Qty","['Recommended Purchases Before Internal/Buyback Sourcing']"
"Qty to Ship","[]"
"Open Internal SO","[]"
"Comments","[]"
"Excess Flag Yearly","[]"
"Adjusted PR Qty","[]"
"Net Available NBD (AFTR)","['Net Available NBD Post Internal/Buyback Sourcing']"
"Avg Transit","[]"
"Tracking Number","[]"
"Final Available Quantity Excess","['OHB National + DS']"
"SP Comments","[]"
"DS Quantity Excess","['DS Qty']"
"Error Association","[]"
"Approved PR Soft Quantity","[]"
"ITEM PRCE","[]"
"Updated Time","[]"
"Updated By","[]"
"GFR Quantity considering Flag","[]"
"PR Submitted By","['QOZ Approver ATT UID']"
"IN Transit (AFT) Flag","[]"
"Max Days Target for IO","['ATT Max Days Target']"
"Published Forecast SP SCS","['Published Forecast']"
"Prime Approved DC2DC transfer type","[]"
"Include GFR Excess","[]"
"Include PR Excess","[]"
"Include PO Excess","['Include External PO Excess']"
"Include PO in Receiving Excess","['Include Internal SO Excess']"
"Excess Inventory Coverage Months","['MSOH National']"
"Planner ATT UID","[]"
"Planner Update Time","[]"
"Planner Adjustment","[]"
"Prime Approved OEM by Transfer Type","[]"
"Prime Approved Dark transfer type","[]"
"Approved Price Override","[]"
"Prime Approved Buyback Quantity by Transfer Type","[]"
"Actual Quantity in Original UoM","['Actual Quantity in Primary UoM']"
"QOZ Submitted Timestamp","[]"
"Prime Approved RA by Transfer Type","[]"
"M Beginning On Hand","['Beginning Stock']"
"Include PO in Receiving Deficit","['Include Internal SO Deficit']"
"Include GFR Deficit","[]"
"Include PO Deficit","['Include External PO Deficit']"
"Include PR Deficit","[]"
"Reco Transfers from location","[]"
"Contract Price","[]"
"Price Override","[]"
"GFR Quantity","[]"
"Quantity to Ship","[]"
"Total SO","[]"
"Delta Quantity","[]"
"Override MRP Min Qty","[]"
"Override MRP Max Qty","[]"
"Avg Price","[]"
"Current Inventory Left","['Current Quantity Available']"
"Final PR Price","[]"
"Inventory Quantity Available","['Quantity Available']"
"Total Supply Excess","[]"
"M Ending On Hand","['Ending Stock']"
"VMI Onhand","['Onhand']"
"VMI Minimum Target Input","['VMI Minimum Target']"
"VMI Maximum Target Input","['VMI Maximum Target']"
"QOZ Planner Approval Flag","[]"
"Max DSOH Target Qty for IO","['ATT Max DSOH Target Qty']"
"Intransit Receipt Qty","[]"
"Past Due PO AFTR","[]"
"Approved DC2DC transfer type","[]"
"CurrentDay","[]"
"Min Days Target for IO","['ATT Min Days Target']"
"Vendor Site","[]"
"Vendor","[]"
"Vendor Alias","[]"
"PR NBD","[]"
"SO Qty Provisioning","[]"
"SO Qty Replenishment","[]"
"Final Max Safety Stock","[]"
"Final Min Safety Stock","[]"
"Approved PR Quantity for Inventory","[]"
"Purchase Amount","[]"
"Approved Buyback Quantity by Transfer Type","[]"
"Total Supply Deficit","[]"
"Include Intransit Qty Deficit","[]"
"Include Intransit Qty Excess","[]"
